Time [s],Sig [V]
-8.0004080E-03,4.3034363E+00
-7.9964560E-03,4.3043518E+00
-7.9925040E-03,4.3052673E+00
-7.9885520E-03,4.3067932E+00
-7.9846000E-03,4.3061829E+00
-7.9806480E-03,4.3064880E+00
-7.9766960E-03,4.3083191E+00
-7.9727440E-03,4.3089294E+00
-7.9687920E-03,4.3101501E+00
-7.9648400E-03,4.3144226E+00
-7.9608880E-03,4.3132019E+00
-7.9569360E-03,4.3092346E+00
-7.9529840E-03,4.3135071E+00
-7.9490320E-03,4.3122864E+00
-7.9450800E-03,4.3104553E+00
-7.9411280E-03,4.3113708E+00
-7.9371760E-03,4.3083191E+00
-7.9332240E-03,4.3144226E+00
-7.9292720E-03,4.3119812E+00
-7.9253200E-03,4.3058777E+00
-7.9213680E-03,4.3156433E+00
-7.9174160E-03,4.3156433E+00
-7.9134640E-03,4.3089294E+00
-7.9095120E-03,4.3104553E+00
-7.9055600E-03,4.3086243E+00
-7.9016080E-03,4.3074036E+00
-7.8976560E-03,4.3067932E+00
-7.8937040E-03,4.3083191E+00
-7.8897520E-03,4.3092346E+00
-7.8858000E-03,4.3101501E+00
-7.8818480E-03,4.3080139E+00
-7.8778960E-03,4.3101501E+00
-7.8739440E-03,4.3064880E+00
-7.8699920E-03,4.3052673E+00
-7.8660400E-03,4.3080139E+00
-7.8620880E-03,4.3052673E+00
-7.8581360E-03,4.3070984E+00
-7.8541840E-03,4.3092346E+00
-7.8502320E-03,4.3098450E+00
-7.8462800E-03,4.3153381E+00
-7.8423280E-03,4.3177795E+00
-7.8383760E-03,4.3144226E+00
-7.8344240E-03,4.3113708E+00
-7.8304720E-03,4.3116760E+00
-7.8265200E-03,4.3141174E+00
-7.8225680E-03,4.3168640E+00
-7.8186160E-03,4.3138123E+00
-7.8146640E-03,4.3138123E+00
-7.8107120E-03,4.3064880E+00
-7.8067600E-03,4.3052673E+00
-7.8028080E-03,4.3180847E+00
-7.7988560E-03,4.3150330E+00
-7.7949040E-03,4.3125916E+00
-7.7909520E-03,4.3101501E+00
-7.7870000E-03,4.3171692E+00
-7.7830480E-03,4.3190002E+00
-7.7790960E-03,4.3119812E+00
-7.7751440E-03,4.3077087E+00
-7.7711920E-03,4.3058777E+00
-7.7672400E-03,4.3089294E+00
-7.7632880E-03,4.3104553E+00
-7.7593360E-03,4.3058777E+00
-7.7553840E-03,4.3043518E+00
-7.7514320E-03,4.3077087E+00
-7.7474800E-03,4.3107605E+00
-7.7435280E-03,4.3086243E+00
-7.7395760E-03,4.3055725E+00
-7.7356240E-03,4.3101501E+00
-7.7316720E-03,4.3128967E+00
-7.7277200E-03,4.3104553E+00
-7.7237680E-03,4.3135071E+00
-7.7198160E-03,4.3159485E+00
-7.7158640E-03,4.3104553E+00
-7.7119120E-03,4.3083191E+00
-7.7079600E-03,4.3098450E+00
-7.7040080E-03,4.3113708E+00
-7.7000560E-03,4.3043518E+00
-7.6961040E-03,4.3074036E+00
-7.6921520E-03,4.3046570E+00
-7.6882000E-03,4.3092346E+00
-7.6842480E-03,4.3080139E+00
-7.6802960E-03,4.3098450E+00
-7.6763440E-03,4.3083191E+00
-7.6723920E-03,4.3095398E+00
-7.6684400E-03,4.3132019E+00
-7.6644880E-03,4.3125916E+00
-7.6605360E-03,4.3101501E+00
-7.6565840E-03,4.3128967E+00
-7.6526320E-03,4.3125916E+00
-7.6486800E-03,4.3174744E+00
-7.6447280E-03,4.3141174E+00
-7.6407760E-03,4.3101501E+00
-7.6368240E-03,4.3125916E+00
-7.6328720E-03,4.3147278E+00
-7.6289200E-03,4.3113708E+00
-7.6249680E-03,4.3110657E+00
-7.6210160E-03,4.3147278E+00
-7.6170640E-03,4.3138123E+00
-7.6131120E-03,4.3113708E+00
-7.6091600E-03,4.3128967E+00
-7.6052080E-03,4.3119812E+00
-7.6012560E-03,4.3110657E+00
-7.5973040E-03,4.3113708E+00
-7.5933520E-03,4.3168640E+00
-7.5894000E-03,4.3205261E+00
-7.5854480E-03,4.3153381E+00
-7.5814960E-03,4.3135071E+00
-7.5775440E-03,4.3077087E+00
-7.5735920E-03,4.3083191E+00
-7.5696400E-03,4.3113708E+00
-7.5656880E-03,4.3128967E+00
-7.5617360E-03,4.3116760E+00
-7.5577840E-03,4.3016052E+00
-7.5538320E-03,4.3098450E+00
-7.5498800E-03,4.3058777E+00
-7.5459280E-03,4.3058777E+00
-7.5419760E-03,4.3070984E+00
-7.5380240E-03,4.3135071E+00
-7.5340720E-03,4.3150330E+00
-7.5301200E-03,4.3101501E+00
-7.5261680E-03,4.3122864E+00
-7.5222160E-03,4.3125916E+00
-7.5182640E-03,4.3135071E+00
-7.5143120E-03,4.3113708E+00
-7.5103600E-03,4.3104553E+00
-7.5064080E-03,4.3144226E+00
-7.5024560E-03,4.3119812E+00
-7.4985040E-03,4.3128967E+00
-7.4945520E-03,4.3080139E+00
-7.4906000E-03,4.3046570E+00
-7.4866480E-03,4.3067932E+00
-7.4826960E-03,4.3110657E+00
-7.4787440E-03,4.3092346E+00
-7.4747920E-03,4.3092346E+00
-7.4708400E-03,4.3074036E+00
-7.4668880E-03,4.3025208E+00
-7.4629360E-03,4.3046570E+00
-7.4589840E-03,4.3031311E+00
-7.4550320E-03,4.3043518E+00
-7.4510800E-03,4.3153381E+00
-7.4471280E-03,4.3141174E+00
-7.4431760E-03,4.3144226E+00
-7.4392240E-03,4.3135071E+00
-7.4352720E-03,4.3138123E+00
-7.4313200E-03,4.3119812E+00
-7.4273680E-03,4.3165588E+00
-7.4234160E-03,4.3168640E+00
-7.4194640E-03,4.3165588E+00
-7.4155120E-03,4.3202209E+00
-7.4115600E-03,4.3174744E+00
-7.4076080E-03,4.3202209E+00
-7.4036560E-03,4.3177795E+00
-7.3997040E-03,4.3138123E+00
-7.3957520E-03,4.3150330E+00
-7.3918000E-03,4.3190002E+00
-7.3878480E-03,4.3208313E+00
-7.3838960E-03,4.3138123E+00
-7.3799440E-03,4.3168640E+00
-7.3759920E-03,4.3128967E+00
-7.3720400E-03,4.3165588E+00
-7.3680880E-03,4.3162537E+00
-7.3641360E-03,4.3110657E+00
-7.3601840E-03,4.3098450E+00
-7.3562320E-03,4.3147278E+00
-7.3522800E-03,4.3125916E+00
-7.3483280E-03,4.3098450E+00
-7.3443760E-03,4.3070984E+00
-7.3404240E-03,4.3110657E+00
-7.3364720E-03,4.3193054E+00
-7.3325200E-03,4.3150330E+00
-7.3285680E-03,4.3135071E+00
-7.3246160E-03,4.3156433E+00
-7.3206640E-03,4.3171692E+00
-7.3167120E-03,4.3180847E+00
-7.3127600E-03,4.3165588E+00
-7.3088080E-03,4.3190002E+00
-7.3048560E-03,4.3150330E+00
-7.3009040E-03,4.3165588E+00
-7.2969520E-03,4.3147278E+00
-7.2930000E-03,4.3135071E+00
-7.2890480E-03,4.3193054E+00
-7.2850960E-03,4.3190002E+00
-7.2811440E-03,4.3132019E+00
-7.2771920E-03,4.3110657E+00
-7.2732400E-03,4.3135071E+00
-7.2692880E-03,4.3159485E+00
-7.2653360E-03,4.3104553E+00
-7.2613840E-03,4.3089294E+00
-7.2574320E-03,4.3089294E+00
-7.2534800E-03,4.3083191E+00
-7.2495280E-03,4.3052673E+00
-7.2455760E-03,4.3009949E+00
-7.2416240E-03,4.3064880E+00
-7.2376720E-03,4.3058777E+00
-7.2337200E-03,4.3064880E+00
-7.2297680E-03,4.3128967E+00
-7.2258160E-03,4.3061829E+00
-7.2218640E-03,4.3064880E+00
-7.2179120E-03,4.3077087E+00
-7.2139600E-03,4.3098450E+00
-7.2100080E-03,4.3083191E+00
-7.2060560E-03,4.3128967E+00
-7.2021040E-03,4.3132019E+00
-7.1981520E-03,4.3156433E+00
-7.1942000E-03,4.3165588E+00
-7.1902480E-03,4.3165588E+00
-7.1862960E-03,4.3147278E+00
-7.1823440E-03,4.3190002E+00
-7.1783920E-03,4.3214417E+00
-7.1744400E-03,4.3110657E+00
-7.1704880E-03,4.3098450E+00
-7.1665360E-03,4.3153381E+00
-7.1625840E-03,4.3128967E+00
-7.1586320E-03,4.3183899E+00
-7.1546800E-03,4.3220520E+00
-7.1507280E-03,4.3125916E+00
-7.1467760E-03,4.3132019E+00
-7.1428240E-03,4.3141174E+00
-7.1388720E-03,4.3138123E+00
-7.1349200E-03,4.3095398E+00
-7.1309680E-03,4.3174744E+00
-7.1270160E-03,4.3177795E+00
-7.1230640E-03,4.3141174E+00
-7.1191120E-03,4.3113708E+00
-7.1151600E-03,4.3089294E+00
-7.1112080E-03,4.3110657E+00
-7.1072560E-03,4.3098450E+00
-7.1033040E-03,4.3095398E+00
-7.0993520E-03,4.3125916E+00
-7.0954000E-03,4.3144226E+00
-7.0914480E-03,4.3183899E+00
-7.0874960E-03,4.3168640E+00
-7.0835440E-03,4.3171692E+00
-7.0795920E-03,4.3168640E+00
-7.0756400E-03,4.3180847E+00
-7.0716880E-03,4.3186951E+00
-7.0677360E-03,4.3180847E+00
-7.0637840E-03,4.3180847E+00
-7.0598320E-03,4.3144226E+00
-7.0558800E-03,4.3125916E+00
-7.0519280E-03,4.3083191E+00
-7.0479760E-03,4.3153381E+00
-7.0440240E-03,4.3162537E+00
-7.0400720E-03,4.3150330E+00
-7.0361200E-03,4.3180847E+00
-7.0321680E-03,4.3147278E+00
-7.0282160E-03,4.3144226E+00
-7.0242640E-03,4.3177795E+00
-7.0203120E-03,4.3141174E+00
-7.0163600E-03,4.3122864E+00
-7.0124080E-03,4.3186951E+00
-7.0084560E-03,4.3241882E+00
-7.0045040E-03,4.3238831E+00
-7.0005520E-03,4.3199158E+00
-6.9966000E-03,4.3135071E+00
-6.9926480E-03,4.3171692E+00
-6.9886960E-03,4.3247986E+00
-6.9847440E-03,4.3171692E+00
-6.9807920E-03,4.3162537E+00
-6.9768400E-03,4.3244934E+00
-6.9728880E-03,4.3226624E+00
-6.9689360E-03,4.3174744E+00
-6.9649840E-03,4.3196106E+00
-6.9610320E-03,4.3202209E+00
-6.9570800E-03,4.3202209E+00
-6.9531280E-03,4.3156433E+00
-6.9491760E-03,4.3196106E+00
-6.9452240E-03,4.3190002E+00
-6.9412720E-03,4.3208313E+00
-6.9373200E-03,4.3196106E+00
-6.9333680E-03,4.3193054E+00
-6.9294160E-03,4.3199158E+00
-6.9254640E-03,4.3186951E+00
-6.9215120E-03,4.3205261E+00
-6.9175600E-03,4.3238831E+00
-6.9136080E-03,4.3260193E+00
-6.9096560E-03,4.3208313E+00
-6.9057040E-03,4.3229675E+00
-6.9017520E-03,4.3217468E+00
-6.8978000E-03,4.3171692E+00
-6.8938480E-03,4.3193054E+00
-6.8898960E-03,4.3162537E+00
-6.8859440E-03,4.3165588E+00
-6.8819920E-03,4.3180847E+00
-6.8780400E-03,4.3193054E+00
-6.8740880E-03,4.3135071E+00
-6.8701360E-03,4.3147278E+00
-6.8661840E-03,4.3156433E+00
-6.8622320E-03,4.3202209E+00
-6.8582800E-03,4.3144226E+00
-6.8543280E-03,4.3147278E+00
-6.8503760E-03,4.3156433E+00
-6.8464240E-03,4.3165588E+00
-6.8424720E-03,4.3125916E+00
-6.8385200E-03,4.3159485E+00
-6.8345680E-03,4.3159485E+00
-6.8306160E-03,4.3186951E+00
-6.8266640E-03,4.3165588E+00
-6.8227120E-03,4.3196106E+00
-6.8187600E-03,4.3226624E+00
-6.8148080E-03,4.3217468E+00
-6.8108560E-03,4.3235779E+00
-6.8069040E-03,4.3226624E+00
-6.8029520E-03,4.3180847E+00
-6.7990000E-03,4.3159485E+00
-6.7950480E-03,4.3190002E+00
-6.7910960E-03,4.3193054E+00
-6.7871440E-03,4.3186951E+00
-6.7831920E-03,4.3232727E+00
-6.7792400E-03,4.3211365E+00
