Time [s],Sig [V]
-4.8488040E-02,4.3299698E+00
-4.8483360E-02,4.3295883E+00
-4.8478680E-02,4.3294357E+00
-4.8474000E-02,4.3301224E+00
-4.8469320E-02,4.3306564E+00
-4.8464640E-02,4.3301224E+00
-4.8459960E-02,4.3292068E+00
-4.8455280E-02,4.3311142E+00
-4.8450600E-02,4.3306564E+00
-4.8445920E-02,4.3297409E+00
-4.8441240E-02,4.3303513E+00
-4.8436560E-02,4.3315720E+00
-4.8431880E-02,4.3301224E+00
-4.8427200E-02,4.3310379E+00
-4.8422520E-02,4.3296646E+00
-4.8417840E-02,4.3301224E+00
-4.8413160E-02,4.3305801E+00
-4.8408480E-02,4.3314194E+00
-4.8403800E-02,4.3303513E+00
-4.8399120E-02,4.3309616E+00
-4.8394440E-02,4.3307327E+00
-4.8389760E-02,4.3308853E+00
-4.8385080E-02,4.3310379E+00
-4.8380400E-02,4.3306564E+00
-4.8375720E-02,4.3305038E+00
-4.8371040E-02,4.3305801E+00
-4.8366360E-02,4.3314957E+00
-4.8361680E-02,4.3309616E+00
-4.8357000E-02,4.3308853E+00
-4.8352320E-02,4.3303513E+00
-4.8347640E-02,4.3311142E+00
-4.8342960E-02,4.3313431E+00
-4.8338280E-02,4.3305038E+00
-4.8333600E-02,4.3304276E+00
-4.8328920E-02,4.3311905E+00
-4.8324240E-02,4.3309616E+00
-4.8319560E-02,4.3301224E+00
-4.8314880E-02,4.3305038E+00
-4.8310200E-02,4.3303513E+00
-4.8305520E-02,4.3314194E+00
-4.8300840E-02,4.3314194E+00
-4.8296160E-02,4.3317245E+00
-4.8291480E-02,4.3318008E+00
-4.8286800E-02,4.3329453E+00
-4.8282120E-02,4.3315720E+00
-4.8277440E-02,4.3327164E+00
-4.8272760E-02,4.3318771E+00
-4.8268080E-02,4.3311905E+00
-4.8263400E-02,4.3316483E+00
-4.8258720E-02,4.3318771E+00
-4.8254040E-02,4.3312668E+00
-4.8249360E-02,4.3314957E+00
-4.8244680E-02,4.3316483E+00
-4.8240000E-02,4.3324112E+00
-4.8235320E-02,4.3329453E+00
-4.8230640E-02,4.3325638E+00
-4.8225960E-02,4.3324112E+00
-4.8221280E-02,4.3330215E+00
-4.8216600E-02,4.3323349E+00
-4.8211920E-02,4.3329453E+00
-4.8207240E-02,4.3330978E+00
-4.8202560E-02,4.3331741E+00
-4.8197880E-02,4.3331741E+00
-4.8193200E-02,4.3331741E+00
-4.8188520E-02,4.3336319E+00
-4.8183840E-02,4.3337845E+00
-4.8179160E-02,4.3337845E+00
-4.8174480E-02,4.3334030E+00
-4.8169800E-02,4.3333267E+00
-4.8165120E-02,4.3334793E+00
-4.8160440E-02,4.3329453E+00
-4.8155760E-02,4.3337082E+00
-4.8151080E-02,4.3334030E+00
-4.8146400E-02,4.3327164E+00
-4.8141720E-02,4.3332504E+00
-4.8137040E-02,4.3325638E+00
-4.8132360E-02,4.3330978E+00
-4.8127680E-02,4.3334793E+00
-4.8123000E-02,4.3330978E+00
-4.8118320E-02,4.3329453E+00
-4.8113640E-02,4.3340897E+00
-4.8108960E-02,4.3338608E+00
-4.8104280E-02,4.3335556E+00
-4.8099600E-02,4.3332504E+00
-4.8094920E-02,4.3343185E+00
-4.8090240E-02,4.3342422E+00
-4.8085560E-02,4.3334793E+00
-4.8080880E-02,4.3337082E+00
-4.8076200E-02,4.3342422E+00
-4.8071520E-02,4.3336319E+00
-4.8066840E-02,4.3339371E+00
-4.8062160E-02,4.3337082E+00
-4.8057480E-02,4.3350052E+00
-4.8052800E-02,4.3343948E+00
-4.8048120E-02,4.3349289E+00
-4.8043440E-02,4.3350815E+00
-4.8038760E-02,4.3347763E+00
-4.8034080E-02,4.3350052E+00
-4.8029400E-02,4.3351578E+00
-4.8024720E-02,4.3346237E+00
-4.8020040E-02,4.3337845E+00
-4.8015360E-02,4.3347763E+00
-4.8010680E-02,4.3356155E+00
-4.8006000E-02,4.3347000E+00
-4.8001320E-02,4.3347000E+00
-4.7996640E-02,4.3353104E+00
-4.7991960E-02,4.3354630E+00
-4.7987280E-02,4.3355392E+00
-4.7982600E-02,4.3356155E+00
-4.7977920E-02,4.3358444E+00
-4.7973240E-02,4.3354630E+00
-4.7968560E-02,4.3353104E+00
-4.7963880E-02,4.3359970E+00
-4.7959200E-02,4.3356918E+00
-4.7954520E-02,4.3363022E+00
-4.7949840E-02,4.3356155E+00
-4.7945160E-02,4.3355392E+00
-4.7940480E-02,4.3355392E+00
-4.7935800E-02,4.3357681E+00
-4.7931120E-02,4.3357681E+00
-4.7926440E-02,4.3366074E+00
-4.7921760E-02,4.3370651E+00
-4.7917080E-02,4.3361496E+00
-4.7912400E-02,4.3371414E+00
-4.7907720E-02,4.3362259E+00
-4.7903040E-02,4.3366074E+00
-4.7898360E-02,4.3361496E+00
-4.7893680E-02,4.3360733E+00
-4.7889000E-02,4.3363785E+00
-4.7884320E-02,4.3369125E+00
-4.7879640E-02,4.3363785E+00
-4.7874960E-02,4.3369125E+00
-4.7870280E-02,4.3364548E+00
-4.7865600E-02,4.3363022E+00
-4.7860920E-02,4.3362259E+00
-4.7856240E-02,4.3366837E+00
-4.7851560E-02,4.3366074E+00
-4.7846880E-02,4.3367599E+00
-4.7842200E-02,4.3362259E+00
-4.7837520E-02,4.3359207E+00
-4.7832840E-02,4.3360733E+00
-4.7828160E-02,4.3364548E+00
-4.7823480E-02,4.3363785E+00
-4.7818800E-02,4.3363022E+00
