Time [s],Sig [V]
-4.8488040E-02,-2.1096674E-01
-4.8483360E-02,-2.1085303E-01
-4.8478680E-02,-2.1074354E-01
-4.8474000E-02,-2.1062141E-01
-4.8469320E-02,-2.1050770E-01
-4.8464640E-02,-2.1036872E-01
-4.8459960E-02,-2.1029713E-01
-4.8455280E-02,-2.1014130E-01
-4.8450600E-02,-2.0998969E-01
-4.8445920E-02,-2.0994337E-01
-4.8441240E-02,-2.0975385E-01
-4.8436560E-02,-2.0966541E-01
-4.8431880E-02,-2.0952643E-01
-4.8427200E-02,-2.0940430E-01
-4.8422520E-02,-2.0928217E-01
-4.8417840E-02,-2.0913056E-01
-4.8413160E-02,-2.0904212E-01
-4.8408480E-02,-2.0888630E-01
-4.8403800E-02,-2.0874732E-01
-4.8399120E-02,-2.0861677E-01
-4.8394440E-02,-2.0850306E-01
-4.8389760E-02,-2.0841041E-01
-4.8385080E-02,-2.0830091E-01
-4.8380400E-02,-2.0817036E-01
-4.8375720E-02,-2.0803559E-01
-4.8371040E-02,-2.0785871E-01
-4.8366360E-02,-2.0779975E-01
-4.8361680E-02,-2.0767762E-01
-4.8357000E-02,-2.0756812E-01
-4.8352320E-02,-2.0742072E-01
-4.8347640E-02,-2.0728596E-01
-4.8342960E-02,-2.0718909E-01
-4.8338280E-02,-2.0706696E-01
-4.8333600E-02,-2.0700800E-01
-4.8328920E-02,-2.0687324E-01
-4.8324240E-02,-2.0670057E-01
-4.8319560E-02,-2.0659107E-01
-4.8314880E-02,-2.0644788E-01
-4.8310200E-02,-2.0630469E-01
-4.8305520E-02,-2.0616993E-01
-4.8300840E-02,-2.0608991E-01
-4.8296160E-02,-2.0595515E-01
-4.8291480E-02,-2.0579511E-01
-4.8286800E-02,-2.0561823E-01
-4.8282120E-02,-2.0554664E-01
-4.8277440E-02,-2.0546662E-01
-4.8272760E-02,-2.0531922E-01
-4.8268080E-02,-2.0520130E-01
-4.8263400E-02,-2.0509601E-01
-4.8258720E-02,-2.0493598E-01
-4.8254040E-02,-2.0484754E-01
-4.8249360E-02,-2.0464118E-01
-4.8244680E-02,-2.0451905E-01
-4.8240000E-02,-2.0432532E-01
-4.8235320E-02,-2.0417792E-01
-4.8230640E-02,-2.0413160E-01
-4.8225960E-02,-2.0399683E-01
-4.8221280E-02,-2.0382838E-01
-4.8216600E-02,-2.0372730E-01
-4.8211920E-02,-2.0356727E-01
-4.8207240E-02,-2.0343671E-01
-4.8202560E-02,-2.0328089E-01
-4.8197880E-02,-2.0312928E-01
-4.8193200E-02,-2.0301557E-01
-4.8188520E-02,-2.0283869E-01
-4.8183840E-02,-2.0274183E-01
-4.8179160E-02,-2.0257758E-01
-4.8174480E-02,-2.0248914E-01
-4.8169800E-02,-2.0234595E-01
-4.8165120E-02,-2.0224909E-01
-4.8160440E-02,-2.0211432E-01
-4.8155760E-02,-2.0194587E-01
-4.8151080E-02,-2.0181110E-01
-4.8146400E-02,-2.0169318E-01
-4.8141720E-02,-2.0159632E-01
-4.8137040E-02,-2.0145313E-01
-4.8132360E-02,-2.0132258E-01
-4.8127680E-02,-2.0112464E-01
-4.8123000E-02,-2.0095618E-01
-4.8118320E-02,-2.0085090E-01
-4.8113640E-02,-2.0073298E-01
-4.8108960E-02,-2.0054767E-01
-4.8104280E-02,-2.0046345E-01
-4.8099600E-02,-2.0024024E-01
-4.8094920E-02,-2.0018128E-01
-4.8090240E-02,-1.9997492E-01
-4.8085560E-02,-1.9995386E-01
-4.8080880E-02,-1.9981068E-01
-4.8076200E-02,-1.9970118E-01
-4.8071520E-02,-1.9949903E-01
-4.8066840E-02,-1.9931794E-01
-4.8062160E-02,-1.9918317E-01
-4.8057480E-02,-1.9902735E-01
-4.8052800E-02,-1.9891785E-01
-4.8048120E-02,-1.9881257E-01
-4.8043440E-02,-1.9863990E-01
-4.8038760E-02,-1.9847986E-01
-4.8034080E-02,-1.9838721E-01
-4.8029400E-02,-1.9826508E-01
-4.8024720E-02,-1.9811768E-01
-4.8020040E-02,-1.9797449E-01
-4.8015360E-02,-1.9783973E-01
-4.8010680E-02,-1.9767127E-01
-4.8006000E-02,-1.9755335E-01
-4.8001320E-02,-1.9741437E-01
-4.7996640E-02,-1.9719117E-01
-4.7991960E-02,-1.9712800E-01
-4.7987280E-02,-1.9695112E-01
-4.7982600E-02,-1.9680372E-01
-4.7977920E-02,-1.9672791E-01
-4.7973240E-02,-1.9658472E-01
-4.7968560E-02,-1.9647523E-01
-4.7963880E-02,-1.9635309E-01
-4.7959200E-02,-1.9616358E-01
-4.7954520E-02,-1.9604145E-01
-4.7949840E-02,-1.9595301E-01
-4.7945160E-02,-1.9583509E-01
-4.7940480E-02,-1.9564136E-01
-4.7935800E-02,-1.9553187E-01
-4.7931120E-02,-1.9536341E-01
-4.7926440E-02,-1.9522022E-01
-4.7921760E-02,-1.9508546E-01
-4.7917080E-02,-1.9491700E-01
-4.7912400E-02,-1.9479487E-01
-4.7907720E-02,-1.9465168E-01
-4.7903040E-02,-1.9451270E-01
-4.7898360E-02,-1.9441584E-01
-4.7893680E-02,-1.9426844E-01
-4.7889000E-02,-1.9415894E-01
-4.7884320E-02,-1.9399048E-01
-4.7879640E-02,-1.9388520E-01
-4.7874960E-02,-1.9369990E-01
-4.7870280E-02,-1.9362830E-01
-4.7865600E-02,-1.9345142E-01
-4.7860920E-02,-1.9332929E-01
-4.7856240E-02,-1.9321979E-01
-4.7851560E-02,-1.9308924E-01
-4.7846880E-02,-1.9301343E-01
-4.7842200E-02,-1.9290815E-01
-4.7837520E-02,-1.9274811E-01
-4.7832840E-02,-1.9260493E-01
